ID,T_SNR,R_SNR,P_SNR,B_SNR,L_SNRAS,Psi,Penalty,Outcome,Rank,Runtime,RawFilename
Kepler\_Q12,47.6417156208542,49.1374642428007,4.98357426013164,215.429633795026,32.8122440142785,0.571372320744018,45.1949327212199,Flagged,2,5.3e-05,Kepler_Q12.fits
TESS\_S12,28.5784711662964,29.7650535952221,8.15422958011677,101.298497864079,19.5497910363704,0.58697550546584,46.1830006936085,Flagged,2,0.00016,TESS_S12.fits
TIC\_261136679\_TESS\_sector\_5,28.329964975461,29.5897129483402,8.14103825819379,100.319164458576,19.3598718928236,0.589364610300116,46.3334320200874,Flagged,2,0.00012,TIC_261136679_TESS_sector_5.fits
TIC\_261136679\_TESS\_sector\_40,34.6318504335081,35.5655941325554,6.88318472033887,121.149811296066,23.6633223469862,0.589666798434721,46.3524433538342,Flagged,2,0.000197,TIC_261136679_TESS_sector_40.fits
TIC\_261136679\_TESS\_sector\_47,9.63656490601104,10.702390734546,4.70870311814778,37.9074499597075,6.58012144387171,0.591212831308446,46.4496512444447,Flagged,2,4.4e-05,TIC_261136679_TESS_sector_47.fits
TIC\_261136679\_TESS\_sector\_8,23.4511391750446,26.6785634401162,8.07913311754098,78.5637995717976,15.906107464133,0.606966260181295,47.4348091003725,Flagged,2,0.000487,TIC_261136679_TESS_sector_8.fits
TIC\_261136679\_TESS\_sector\_16,25.011917621675,26.3074598232871,8.00744022990818,85.9291451290105,16.9370973235371,0.610836311526958,47.6753492283272,Flagged,2,0.000154,TIC_261136679_TESS_sector_16.fits
TIC\_261136679\_TESS\_sector\_28,30.3057844993014,31.3254921461325,5.24621178745928,103.989010171843,20.5149387999397,0.61164346401061,47.7254443449302,Flagged,2,0.000173,TIC_261136679_TESS_sector_28.fits
TIC\_261136679,37.1457155419839,38.5453784270221,7.18580423118324,131.55130451887,25.1019264664459,0.615743801727345,47.9795408995283,Flagged,2,0.000159,TIC_261136679.fits
TIC\_261136679\_TESS\_sector\_59,21.6068552499796,20.5857525814679,4.50984152596748,74.7539285171078,14.5998588672921,0.61597081263569,47.9935898447977,Flagged,2,0.000131,TIC_261136679_TESS_sector_59.fits
KIC\_8462852\_Kepler\_quarter\_3,41.7281810818878,46.9782378615541,4.74449956803539,177.711533881944,28.1623863019433,0.618822530367405,48.1699051866508,Flagged,2,0.000125,KIC_8462852_Kepler_quarter_3.fits
Kepler\_Q2,41.7281810818878,46.9782378615541,4.74449956803539,177.711533881944,28.1623863019433,0.618822530367405,48.1699051866508,Flagged,2,7.2e-05,Kepler_Q2.fits
TIC\_261136679\_TESS\_sector\_20,39.0691423367104,41.2498751973905,6.54109080918809,130.406724883101,26.2253183184034,0.631906597159448,48.9749022771403,Flagged,2,0.000731,TIC_261136679_TESS_sector_20.fits
TIC\_261136679\_TESS\_sector\_61,16.8453964773825,17.321487723435,5.10400517397482,57.9209461803243,11.2727418927282,0.63942857204039,49.4347749436995,Flagged,2,0.000102,TIC_261136679_TESS_sector_61.fits
KIC\_8462852\_Kepler\_quarter\_9,18.1191349215623,17.8342988649125,3.51984403447711,48.9385924830307,12.1125363307346,0.641974243791651,49.5899325031238,Flagged,2,7.3e-05,KIC_8462852_Kepler_quarter_9.fits
Kepler\_Q10,18.1191349215623,17.8342988649125,3.51984403447711,48.9385924830307,12.1125363307346,0.641974243791651,49.5899325031238,Flagged,2,7.1e-05,Kepler_Q10.fits
KIC\_8462852\_Kepler\_quarter\_6,24.6337966609904,24.5498714173544,4.26199147922763,91.4799157375031,16.4514699502277,0.644376747481043,49.7361435514124,Flagged,2,6.3e-05,KIC_8462852_Kepler_quarter_6.fits
Kepler\_Q5,24.6337966609904,24.5498714173544,4.26199147922763,91.4799157375031,16.4514699502277,0.644376747481043,49.7361435514124,Flagged,2,6.2e-05,Kepler_Q5.fits
TIC\_261136679\_TESS\_sector\_25,39.3068836062486,41.0500346706206,7.85363642665984,132.482952376934,26.2189467308285,0.647367551561862,49.917859057363,Flagged,2,0.000534,TIC_261136679_TESS_sector_25.fits
TIC\_261136679\_TESS\_sector\_22,34.2620833403312,36.4811193691628,7.59714922149982,115.664733203635,22.7493568551471,0.658756488003063,50.6068218037528,Flagged,2,0.000575,TIC_261136679_TESS_sector_22.fits
TIC\_261136679\_TESS\_sector\_23,45.4063372599753,47.7261564313775,8.19487010544544,154.531077659458,29.9664758656957,0.674036556865061,51.5237809860534,Flagged,2,0.000472,TIC_261136679_TESS_sector_23.fits
KIC\_8462852\_Kepler\_quarter\_12,9.20145650479614,9.26615301022722,3.75121712229972,29.9332598285083,6.05405809677971,0.68182989791582,51.9882425589969,Flagged,2,8.7e-05,KIC_8462852_Kepler_quarter_12.fits
Kepler\_Q11,9.20145650479614,9.26615301022722,3.75121712229972,29.9332598285083,6.05405809677971,0.68182989791582,51.9882425589969,Flagged,2,7.4e-05,Kepler_Q11.fits
TESS\_S11,23.2631700293076,24.6006010632975,6.80414308113608,79.789437122181,15.1991612296572,0.699877470013934,53.0556172002145,Flagged,2,0.000136,TESS_S11.fits
