Filename,SourceType,Label,Label_Source,N_total,N_in,N_out,Depth_ppm,T_SNR,R_SNR,P_SNR,B_SNR,L_SNRAS,Psi,Penalty_pct,Suppression_pct,Tier,Transit_Expected,T_start_BTJD,T_end_BTJD
TIC_261136679_TESS_sector_20.fits,TESS_fits,1,ephemeris_confirmed,117567,1573,115994,308.237852800763,50.9875224100016,53.966126821061,2.61465381573903,65.5474658840835,49.6164369699894,0.0280190459692548,2.76336940687931,2.68906072545956,Tier 1,1,3068.73970902887,3096.63014400415
TIC_261136679_TESS_sector_21.fits,TESS_fits,1,ephemeris_confirmed,94949,1569,93380,185.416644092773,26.2675109289529,28.6585962788834,1.22676553686378,17.4189037477446,25.1396622171727,0.0458848986342592,4.48633200413389,4.29370226524594,Tier 1,1,3097.67483246372,3122.69391583341
TIC_261136679_TESS_sector_22.fits,TESS_fits,1,ephemeris_confirmed,113433,1952,111481,250.704876682106,47.6236099384509,50.8965329750595,2.57844962751467,51.3330056454213,44.8537784341799,0.063699012281628,6.17524677064958,5.8160889270065,Tier 1,1,3041.11413409888,3068.03275517342
TIC_261136679_TESS_sector_23.fits,TESS_fits,1,ephemeris_confirmed,98044,1572,96472,337.636712835376,54.4393053221664,57.4966811515039,3.58224395110185,74.746644279994,54.3346808894907,0.00192741037053056,0.192555529843652,0.192185466101114,Tier 1,1,2989.43868748866,3014.15285559886
TIC_261136679_TESS_sector_24.fits,TESS_fits,1,ephemeris_confirmed,92249,956,91293,222.433813800604,28.8667891994019,30.7201030927889,2.29545340739329,26.9500991975903,27.7157632506829,0.0424040687278959,4.15296500517863,3.98737088759032,Tier 1,1,3154.79276822099,3179.47337139258
TIC_261136679_TESS_sector_25.fits,TESS_fits,1,ephemeris_confirmed,95118,1573,93545,235.699639120734,39.5661085351303,41.5329251023026,2.45014057574105,39.4706736243347,38.5895755470314,0.0256285213227032,2.53056161996059,2.46810470944299,Tier 1,1,2963.8982789358,2987.95555326779
TIC_261136679_TESS_sector_26.fits,TESS_fits,1,ephemeris_confirmed,15462,157,15305,244.21801616048,18.5083056585881,20.0119416437662,2.67294784410562,27.3380553090349,16.5781780650489,0.123474142189038,11.6425796970322,10.4284402318784,Tier 1,1,3154.91973463158,3179.58876239633
TIC_261136679_TESS_sector_27.fits,TESS_fits,1,ephemeris_confirmed,14911,264,14647,281.90415328555,30.6303876875599,31.6210961827045,3.87156292442613,57.7409079520462,28.4193286986144,0.080907795179959,7.78012391634457,7.21851454019783,Tier 1,1,3126.64356273343,3151.49060420484
TIC_261136679_TESS_sector_28.fits,TESS_fits,1,ephemeris_confirmed,19515,262,19253,341.683440125196,34.1056256582402,35.3852050290598,3.33751187873733,71.8596150856185,30.7809774601604,0.114058698533785,10.8009831798968,9.7480932658876,Tier 1,1,3068.74028774499,3096.62956529443
TIC_261136679_TESS_sector_29.fits,TESS_fits,1,ephemeris_confirmed,15435,259,15176,277.672623005376,21.7581067670045,24.8193518014791,2.5003935427433,29.4158927554881,19.8866536768847,0.0986761805941852,9.41059828630286,8.60117615084917,Tier 1,1,3097.67541117496,3122.54773565339
TIC_261136679_TESS_sector_3.fits,TESS_fits,1,ephemeris_confirmed,12936,196,12740,387.136014179612,20.4782601449364,25.5388877334988,2.07437607902367,29.9537967926611,15.7616941365126,0.348836441440405,29.9242325575753,23.03206412577,Tier 2,1,1517.98069906731,1541.99920302427
TIC_261136679_TESS_sector_30.fits,TESS_fits,1,ephemeris_confirmed,15305,262,15043,216.933499030847,21.3405330252773,22.1659397734259,2.41288901456885,28.1348007537457,19.8342228046635,0.0789032420793586,7.59450085566082,7.05844703517788,Tier 1,1,2964.00626639429,2987.75797983065
TIC_261136679_TESS_sector_31.fits,TESS_fits,1,ephemeris_confirmed,15598,262,15336,315.997777738164,29.3603652678774,32.1767805420958,4.03672619010209,53.2547019184353,25.7825611784124,0.148857963682434,13.876837389067,12.1858296271927,Tier 1,1,2989.8524692469,3014.00852313676
TIC_261136679_TESS_sector_32.fits,TESS_fits,1,ephemeris_confirmed,18854,317,18537,349.595983116235,38.6743387184089,41.3847018890425,4.55328163476868,84.0038907405144,34.3054707613053,0.135816676940267,12.7351931343599,11.2965550333354,Tier 1,1,3041.11471281809,3068.03194497248
TIC_261136679_TESS_sector_33.fits,TESS_fits,1,ephemeris_confirmed,115391,1572,113819,302.181799628709,50.8707475156021,56.1562817928702,2.95221137145123,65.2682761269357,49.9430431190662,0.0187488407866388,1.85752476941421,1.82365001861108,Tier 1,1,3690.15068818456,3717.9230424875
TIC_261136679_TESS_sector_34.fits,TESS_fits,1,ephemeris_confirmed,121642,1965,119677,265.120874464841,49.4846587706797,54.5595564576023,2.56668164889425,55.2398113030643,48.6507427766215,0.0172886163563944,1.71408686993133,1.68520105983279,Tier 1,1,3718.13716648113,3746.94447957996
TIC_261136679_TESS_sector_35.fits,TESS_fits,1,ephemeris_confirmed,93622,1572,92050,273.221961507919,47.825445062216,50.9738051137003,3.16870351205839,57.6877112483219,37.4365728926665,0.319833987793801,27.7505961866092,21.7224788102539,Tier 2,1,3857.00839784429,3881.14804442238
